folio,fecha_creacion,hora_creacion,dia_semana,fecha_cierre,hora_cierre,tipo_incidente_c4,incidente_c4,alcaldia_inicio,codigo_cierre,clas_con_f_alarma,tipo_entrada,alcaldia_cierre,alcaldia_catalogo,colonia_catalogo,longitud,latitud
C5/20220107/02030,07/01/22,15:56:26,Viernes,07/01/22,20:44:41,Accidente,Ciclista,VENUSTIANO CARRANZA,A,URGENCIAS MEDICAS,RADIO,VENUSTIANO CARRANZA,Venustiano Carranza,Ampliacion 20 De Noviembre,-99.11714,19.444051
C5/20220107/02283,07/01/22,17:14:56,Viernes,07/01/22,20:24:41,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,La Pradera,-99.063485,19.476245
C5/20220107/03514,07/01/22,22:17:08,Viernes,08/01/22,1:24:43,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,Cuauhtémoc,Centro,-99.142957,19.426828
C5/20220108/00634,08/01/22,3:13:53,Sábado,08/01/22,6:14:46,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,RADIO,BENITO JUAREZ,Benito Juárez,Ermita,-99.143425,19.359248
C5/20220108/01396,08/01/22,10:11:06,Sábado,08/01/22,12:52:43,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Bosque De Chapultepec Ii Seccion,-99.195371,19.412353
C5/20220108/02581,08/01/22,15:39:26,Sábado,08/01/22,18:44:46,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Barrio Santa Apolonia,-99.191079,19.47321
C5/20220108/02664,08/01/22,16:01:19,Sábado,08/01/22,19:04:47,Accidente,Ciclista,BENITO JUAREZ,F,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Benito Juárez,Napoles,-99.17221512,19.39467557
C5/20220108/03267,08/01/22,18:37:27,Sábado,08/01/22,21:54:45,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,Cuauhtémoc,Juarez,-99.154563,19.432786
C5/20220109/02417,09/01/22,12:17:42,Domingo,09/01/22,15:24:45,Accidente,Ciclista,ALVARO OBREGON,A,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,Álvaro Obregón,Jose Maria Pino Suarez,-99.192751,19.39934
C5/20220109/04320,09/01/22,20:01:24,Domingo,09/01/22,23:04:48,Accidente,Ciclista,XOCHIMILCO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Pueblo San Gregorio Atlapulco,-99.059395,19.25124
C5/20220110/02502,10/01/22,17:28:58,Lunes,10/01/22,20:34:49,Accidente,Ciclista,GUSTAVO A. MADERO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,La Malinche,-99.10834,19.453622
C5/20220110/02902,10/01/22,19:13:02,Lunes,10/01/22,22:24:47,Accidente,Ciclista,GUSTAVO A. MADERO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Pueblo San Juan De Aragon,-99.085614,19.465018
C5/20220110/02936,10/01/22,19:25:27,Lunes,10/01/22,22:34:47,Accidente,Ciclista,IZTACALCO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTACALCO,Iztacalco,Barrio San Francisco Xicaltongo,-99.123362,19.395614
C5/20220110/03017,10/01/22,19:48:29,Lunes,10/01/22,22:54:48,Accidente,Ciclista,TLALPAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,La Joya,-99.167639,19.27893
C5/20220111/00760,11/01/22,10:18:13,Martes,11/01/22,13:54:48,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Centro,-99.153007,19.427509
C5/20220111/00761,11/01/22,10:18:06,Martes,11/01/22,13:24:48,Accidente,Ciclista,CUAUHTEMOC,D,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Centro,-99.152452,19.428661
C5/20220111/01329,11/01/22,13:34:16,Martes,11/01/22,18:04:49,Accidente,Ciclista,COYOACAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Ex Hacienda Coapa,-99.136263,19.313853
C5/20220111/02061,11/01/22,17:14:24,Martes,11/01/22,20:24:49,Accidente,Ciclista,IZTAPALAPA,D,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Central De Abasto,-99.080273,19.37168
C5/20220111/02464,11/01/22,19:12:35,Martes,11/01/22,22:14:52,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Angel Zimbron,-99.189897,19.465828
C5/20220112/00774,12/01/22,9:25:27,Miércoles,12/01/22,12:34:56,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,La Era,-99.052812,19.338524
C5/20220112/01094,12/01/22,11:28:47,Miércoles,12/01/22,14:34:56,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Barrio Xaltocan,-99.103866,19.25547
C5/20220112/01753,12/01/22,14:43:25,Miércoles,12/01/22,17:54:55,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,NA,-98.968716,19.331792
C5/20220112/02093,12/01/22,16:19:10,Miércoles,12/01/22,19:24:56,Accidente,Ciclista,AZCAPOTZALCO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Angel Zimbron,-99.19027,19.47076
C5/20220112/02294,12/01/22,17:17:28,Miércoles,12/01/22,20:24:56,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Santa Maria La Ribera,-99.159563,19.451031
C2C/20220113/00083,13/01/22,14:11:39,Jueves,13/01/22,17:44:59,Accidente,Ciclista,CUAUHTEMOC,D,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,CUAUHTEMOC,Cuauhtémoc,Asturias,-99.13285,19.40396
C5/20220113/00754,13/01/22,9:34:01,Jueves,13/01/22,12:44:59,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Barrio La Guadalupita,-99.102873,19.265307
C5/20220113/01449,13/01/22,13:23:31,Jueves,13/01/22,16:35:00,Accidente,Ciclista,TLALPAN,F,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Club De Golf Mexico,-99.156995,19.286511
C5/20220113/01459,13/01/22,13:26:32,Jueves,13/01/22,16:35:01,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Gertrudis Sanchez 3a Seccion,-99.098663,19.459008
C5/20220113/01503,13/01/22,13:39:48,Jueves,13/01/22,16:45:01,Accidente,Ciclista,GUSTAVO A. MADERO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Gertrudis Sanchez 3a Seccion,-99.098663,19.459008
C5/20220113/01539,13/01/22,13:48:37,Jueves,13/01/22,19:18:14,Accidente,Ciclista,TLALPAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Barrio Del Niño Jesus,-99.159409,19.287481
C5/20220113/01733,13/01/22,14:30:16,Jueves,13/01/22,18:02:59,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,Cuauhtémoc,Asturias,-99.1329051,19.40384164
C5/20220113/02001,13/01/22,15:34:28,Jueves,13/01/22,18:45:01,Accidente,Ciclista,LA MAGDALENA CONTRERAS,D,URGENCIAS MEDICAS,LLAMADA DEL 911,LA MAGDALENA CONTRERAS,La Magdalena Contreras,Lomas De San Bernabe,-99.263293,19.316027
C5/20220113/02043,13/01/22,15:45:31,Jueves,13/01/22,18:55:00,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Cuchilla Del Tesoro,-99.05389725,19.44829554
C5/20220114/01788,14/01/22,14:50:58,Viernes,14/01/22,17:55:06,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Benito Juárez,Insurgentes San Borja,-99.174955,19.385984
C5/20220114/02651,14/01/22,18:35:39,Viernes,14/01/22,21:45:05,Accidente,Ciclista,GUSTAVO A. MADERO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Salvador Diaz Miron,-99.094636,19.487097
C5/20220114/02659,14/01/22,18:36:39,Viernes,14/01/22,21:45:06,Accidente,Ciclista,GUSTAVO A. MADERO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Salvador Diaz Miron,-99.094636,19.487097
C5/20220114/03615,14/01/22,22:25:16,Viernes,15/01/22,2:45:04,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Bosque De Chapultepec I Seccion,-99.178507,19.424817
C5/20220114/03846,14/01/22,23:21:35,Viernes,15/01/22,2:25:07,Accidente,Ciclista,COYOACAN,F,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Copilco Universidad,-99.176154,19.336105
C5/20220115/00142,15/01/22,0:39:06,Sábado,15/01/22,3:45:06,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Del Gas,-99.159286,19.470826
C2O/20220116/00126,16/01/22,17:05:46,Domingo,16/01/22,20:15:16,Accidente,Ciclista,TLAHUAC,D,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,TLAHUAC,Tláhuac,Las Arboledas,-99.04935,19.30839
C5/20220115/04005,15/01/22,20:54:18,Sábado,16/01/22,0:05:07,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Roma Sur,-99.16959,19.40227
C5/20220116/02317,16/01/22,12:12:32,Domingo,16/01/22,15:15:14,Accidente,Ciclista,ALVARO OBREGON,A,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,Álvaro Obregón,Flor De Maria,-99.209218,19.3455
C5/20220116/03149,16/01/22,16:07:59,Domingo,16/01/22,19:15:15,Accidente,Ciclista,COYOACAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Copilco Universidad,-99.183875,19.337415
C5/20220116/03162,16/01/22,16:10:12,Domingo,16/01/22,19:15:16,Accidente,Ciclista,COYOACAN,D,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,Coyoacán,Ciudad Universitaria,-99.176454,19.323001
C5/20220116/03395,16/01/22,17:01:25,Domingo,16/01/22,20:05:17,Accidente,Ciclista,TLAHUAC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,Tláhuac,Las Arboledas,-99.04964347,19.3078865
C5/20220116/03423,16/01/22,17:06:03,Domingo,16/01/22,20:15:15,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Jacarandas,-99.050828,19.348936
C5/20220117/00166,17/01/22,1:13:04,Lunes,17/01/22,4:15:22,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Centro,-99.13093,19.424318
C5/20220117/01281,17/01/22,12:26:59,Lunes,17/01/22,15:35:22,Accidente,Ciclista,VENUSTIANO CARRANZA,A,URGENCIAS MEDICAS,REDES,VENUSTIANO CARRANZA,Venustiano Carranza,Jardin Balbuena,-99.11317242,19.40620913
C5/20220117/01532,17/01/22,13:38:26,Lunes,17/01/22,16:45:23,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,RADIO,IZTAPALAPA,Iztapalapa,Pueblo San Andres Tomatlan,-99.107028,19.32942
C5/20220117/01863,17/01/22,15:08:43,Lunes,17/01/22,18:15:23,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,Azcapotzalco,Barrio Los Reyes,-99.18549,19.485549
C5/20220117/02066,17/01/22,16:08:22,Lunes,17/01/22,17:16:46,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Popotla,-99.1833,19.45829
C2O/20220118/00052,18/01/22,9:52:48,Martes,18/01/22,12:55:28,Accidente,Ciclista,XOCHIMILCO,D,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,XOCHIMILCO,Xochimilco,Pueblo San Lorenzo Atemoaya,-99.09946,19.23863
C2O/20220118/00055,18/01/22,10:01:21,Martes,18/01/22,13:05:28,Accidente,Ciclista,XOCHIMILCO,D,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,XOCHIMILCO,Xochimilco,Pueblo San Lorenzo Atemoaya,-99.09946,19.23863
C5/20220118/00571,18/01/22,8:19:37,Martes,18/01/22,11:25:28,Accidente,Ciclista,AZCAPOTZALCO,A,URGENCIAS MEDICAS,CÁMARA,AZCAPOTZALCO,Azcapotzalco,Reynosa Tamaulipas,-99.189257,19.491837
C5/20220118/00710,18/01/22,9:50:49,Martes,18/01/22,12:55:28,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Pueblo San Lorenzo Atemoaya,-99.09939571,19.23816467
C5/20220118/00711,18/01/22,9:52:27,Martes,18/01/22,12:55:28,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,RADIO,BENITO JUAREZ,Benito Juárez,Santa Cruz Atoyac,-99.162345,19.374575
C5/20220118/00713,18/01/22,9:51:39,Martes,18/01/22,12:55:28,Accidente,Ciclista,XOCHIMILCO,D,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Pueblo San Lorenzo Atemoaya,-99.099459,19.238627
C5/20220118/00976,18/01/22,11:33:25,Martes,18/01/22,14:35:29,Accidente,Ciclista,CUAUHTEMOC,F,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Juarez,-99.162535,19.424339
C5/20220118/02799,18/01/22,20:46:25,Martes,18/01/22,23:55:27,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Guerrero,-99.14441,19.45149
C5/20220118/02893,18/01/22,21:13:29,Martes,19/01/22,0:25:27,Accidente,Ciclista,XOCHIMILCO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Barrio San Pedro,-99.10575,19.25429
C5/20220119/00808,19/01/22,10:21:44,Miércoles,19/01/22,13:25:32,Accidente,Ciclista,CUAUHTEMOC,F,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Santa Maria La Ribera,-99.15302,19.44805
C5/20220119/01889,19/01/22,16:16:34,Miércoles,19/01/22,19:25:33,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,RADIO,IZTAPALAPA,Iztapalapa,La Esperanza,-99.074524,19.317553
C5/20220119/02783,19/01/22,20:01:42,Miércoles,19/01/22,23:05:35,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Pueblo San Andres Ahuayucan,-99.105033,19.224944
C2S/20220120/00042,20/01/22,11:33:09,Jueves,20/01/22,14:35:35,Accidente,Ciclista,COYOACAN,A,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,COYOACAN,Coyoacán,San Mateo,-99.14952,19.34971
C5/20220120/00792,20/01/22,9:30:16,Jueves,20/01/22,12:45:34,Accidente,Ciclista,TLAHUAC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,Tláhuac,Granjas Cabrera,-99.06139,19.297993
C5/20220120/01104,20/01/22,11:29:34,Jueves,20/01/22,14:35:35,Accidente,Ciclista,GUSTAVO A. MADERO,A,URGENCIAS MEDICAS,RADIO,GUSTAVO A. MADERO,Gustavo A. Madero,Cuautepec Barrio Alto,-99.13560305,19.55643698
C5/20220120/01534,20/01/22,13:55:03,Jueves,20/01/22,17:05:36,Accidente,Ciclista,IZTAPALAPA,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Pueblo San Lorenzo Tezonco,-99.06572,19.30657
C5/20220120/02212,20/01/22,17:34:08,Jueves,20/01/22,20:45:34,Accidente,Ciclista,TLAHUAC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,Tláhuac,Zacatenco,-99.023834,19.298275
C2O/20220121/00179,21/01/22,18:42:06,Viernes,21/01/22,21:45:44,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,XOCHIMILCO,Xochimilco,Barrio El Rosario,-99.1054,19.26311
C5/20220121/00596,21/01/22,7:23:47,Viernes,21/01/22,10:25:40,Accidente,Ciclista,LA MAGDALENA CONTRERAS,F,URGENCIAS MEDICAS,LLAMADA DEL 911,LA MAGDALENA CONTRERAS,La Magdalena Contreras,Cuauhtemoc,-99.242245,19.321321
C5/20220121/01852,21/01/22,14:33:01,Viernes,21/01/22,17:35:43,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Benito Juárez,Piedad Narvarte,-99.15562,19.40364
C5/20220121/03824,21/01/22,22:48:29,Viernes,22/01/22,1:55:44,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Barrio Belen,-99.101851,19.258896
C5/20220122/01193,22/01/22,7:46:27,Sábado,22/01/22,10:55:43,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,Benito Juárez,Tlacoquemecatl,-99.176884,19.380032
C5/20220122/02349,22/01/22,14:14:15,Sábado,22/01/22,17:15:46,Accidente,Ciclista,XOCHIMILCO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Tablas De San Lorenzo,-99.10707398,19.24724516
C5/20220122/02925,22/01/22,16:31:54,Sábado,22/01/22,19:35:46,Accidente,Ciclista,IZTAPALAPA,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Reforma Politica,-99.031419,19.339842
C5/20220122/03116,22/01/22,17:24:27,Sábado,22/01/22,20:25:48,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Centro,-99.145891,19.428471
C5/20220122/03358,22/01/22,18:28:35,Sábado,22/01/22,21:35:46,Accidente,Ciclista,VENUSTIANO CARRANZA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,Venustiano Carranza,Zona Centro,-99.11975,19.42895
C2P/20220123/00140,23/01/22,17:28:46,Domingo,23/01/22,20:45:48,Accidente,Ciclista,AZCAPOTZALCO,D,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,AZCAPOTZALCO,Azcapotzalco,Claveria,-99.17931,19.46553
C2S/20220123/00065,23/01/22,13:25:12,Domingo,23/01/22,16:35:45,Accidente,Ciclista,TLALPAN,A,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,TLALPAN,Tlalpan,Pedregal De San Nicolas 3a Seccion,-99.23391,19.28262
C2S/20220123/00068,23/01/22,13:35:21,Domingo,23/01/22,16:45:46,Accidente,Ciclista,TLALPAN,D,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,TLALPAN,Tlalpan,Pedregal De San Nicolas 3a Seccion,-99.23391,19.28262
